minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
8124;0;119;0;0;186852;1111287;2024;1113312;0
8106;1;119;0;0;186852;1111287;2024;1113312;0
8006;1;119;0;0;186852;1111287;2024;1113312;0
7906;7;118;2;2;171022;1018871;2056;1020927;0
7806;7;118;2;2;171022;1018871;2056;1020927;0
7706;7;118;2;2;171022;1018871;2056;1020927;0
7606;7;118;2;2;171022;1018871;2056;1020927;0
7506;7;118;2;2;171022;1018871;2056;1020927;0
7406;9;117;3;3;170822;1017965;2060;1020025;0
7306;9;117;3;3;170822;1017965;2060;1020025;0
7206;15;115;5;5;163526;977562;2079;979641;0
7106;15;115;5;5;163526;977562;2079;979641;0
7006;15;115;5;5;163526;977562;2079;979641;0
6906;15;115;5;5;163526;977562;2079;979641;0
6806;17;115;5;5;163526;977562;2079;979641;0
6706;17;115;5;5;163526;977562;2079;979641;0
6606;19;115;5;5;163508;977480;2084;979564;0
6506;23;115;6;6;163178;976570;2112;978682;0
6406;25;115;6;6;162986;975672;2117;977788;0
6306;25;115;6;6;162986;975672;2117;977788;0
6206;31;114;7;7;156714;941570;2131;943701;0
6106;31;114;7;7;156714;941570;2131;943701;0
6006;31;114;7;7;156714;941570;2131;943701;0
5906;31;114;7;7;156714;941570;2131;943701;0
5806;31;114;7;7;156714;941570;2131;943701;0
5706;31;114;7;7;156714;941570;2131;943701;0
5606;33;114;7;7;156714;941570;2131;943701;0
5506;33;114;7;7;156714;941570;2131;943701;0
5406;35;114;7;7;156714;941570;2131;943701;0
5306;39;114;7;7;156426;940176;2136;942312;0
5206;39;114;7;7;156426;940176;2136;942312;0
5106;41;114;7;7;156426;940176;2136;942312;0
5006;41;114;7;7;156426;940176;2136;942312;0
4906;51;114;7;7;156426;940176;2136;942312;0
4806;51;114;7;7;156426;940176;2136;942312;0
4706;67;114;8;8;155658;937164;2168;939332;0
4606;83;114;9;9;155562;936914;2203;939117;0
4506;97;114;10;10;155434;936379;2239;938618;0
4406;111;114;10;10;155434;936379;2239;938618;0
4306;125;114;10;10;155086;934587;2249;936837;0
4206;147;114;10;10;154862;933421;2265;935686;0
4106;153;114;11;11;150822;913431;2280;915712;0
4006;167;113;12;12;146806;892619;2300;894919;0
3906;209;113;13;13;146326;892436;2336;894772;0
3806;235;113;13;13;146326;892436;2336;894772;0
3706;293;113;14;14;145174;886688;2381;889069;0
3606;333;112;16;16;144614;884249;2413;886661;0
3506;369;112;17;17;141094;866825;2429;869254;0
3406;435;112;20;20;137350;849042;2505;851547;0
3306;505;112;22;22;131262;813950;2570;816520;0
3206;651;112;26;26;126514;792555;2699;795255;1
3106;767;114;28;28;125482;787227;2785;790012;1
3006;931;113;30;30;124466;781254;2812;784066;1
2906;1105;113;30;30;122822;773866;2835;776700;1
2806;1303;113;30;30;119510;756209;2823;759032;1
2706;1597;112;35;35;118722;752996;2962;755959;1
2606;1945;111;35;35;118062;749433;2965;752397;1
2506;2321;111;39;39;116778;744944;3070;748014;1
2406;2943;112;41;41;113970;726892;3242;730135;1
2306;3371;111;47;47;112662;721466;3419;724885;1
2206;4069;111;53;53;106882;684270;3619;687888;1
2106;5193;110;57;57;105914;678432;3800;682232;1
2006;6545;111;57;57;103346;666055;3777;669832;1
1906;7913;111;65;65;100040;644497;4085;648583;1
1806;13685;108;73;73;98922;632684;4473;637157;1
1706;52465;107;78;78;85474;553623;4797;558420;1
1606;53825;106;86;86;83468;547067;5022;552090;1
1506;56511;106;91;91;80474;528037;5073;533110;1
1406;59317;105;101;101;79204;524615;5306;529921;1
1306;63399;105;104;104;76916;513680;5432;519112;1
1206;100329;103;107;107;73016;487514;5591;493106;1
1106;107259;99;116;116;71038;480424;5870;486294;1
1006;122779;99;138;138;67883;467808;6593;474401;1
906;162201;98;167;167;65799;459196;7896;467092;2
806;575131;98;165;165;62460;446208;8236;454444;3
706;629837;99;182;182;59257;429888;8532;438420;4
606;940993;99;212;212;56575;416785;9435;426220;5
506;1432459;98;249;249;54064;405007;10799;415806;6
406;3755705;98;273;273;50193;384929;12955;397883;15
